filename, language, JSON, Markdown, Properties, Ignore, JavaScript React, XML, HTML, SCSS, CSS, comment, blank, total
frontend\app\src\Pages\Home\Home.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 5, 24
frontend\app\src\Pages\Home\index.js, JavaScript React, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 10, 121
frontend\app\src\Pages\Info\index.js, JavaScript React, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 9, 110
frontend\app\src\Pages\Info\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
frontend\app\src\Pages\JunctionWeek\index.js, JavaScript React, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 10, 116
frontend\app\src\Pages\JunctionWeek\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
frontend\app\src\Pages\NotFound\index.js, JavaScript React, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
frontend\app\src\Pages\NotFound\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
frontend\app\src\Pages\PageHOC\index.js, JavaScript React, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 13, 130
frontend\app\src\Pages\PageHOC\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
frontend\app\src\Pages\Partners\index.js, JavaScript React, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 8, 57
frontend\app\src\Pages\Team\index.js, JavaScript React, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 8, 51
frontend\app\src\Pages\Team\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
frontend\app\src\Pages\Volunteer\index.js, JavaScript React, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 9, 95
frontend\app\src\Pages\Volunteer\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
frontend\app\src\components\AreYouReady\index.js, JavaScript React, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
frontend\app\src\components\AreYouReady\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
frontend\app\src\components\BasicHeader\index.js, JavaScript React, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 7, 47
frontend\app\src\components\BasicHeader\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 9, 64
frontend\app\src\components\BasicSection\index.js, JavaScript React, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
frontend\app\src\components\BasicSection\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 12, 70
frontend\app\src\components\ButtonLink\Style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 7, 110
